Speed_kmph,Direction_degree,Latitude,Longitude,GPS_Status,Timestamp,Predicted_GPS_Status,Correct
35,95,26.923521265452344,75.84467807084053,0,2026-09-18 14:00:00,1.0,False
43,226,26.878139096057755,75.81401411176572,1,2026-09-18 14:01:00,1.0,True
38,38,26.87526490939609,75.76634481435714,0,2026-09-18 14:02:00,1.0,False
27,301,26.850508213981804,75.74679279857428,0,2026-09-18 14:03:00,1.0,False
50,28,26.91957142928497,75.74811141106572,0,2026-09-18 14:04:00,1.0,False
40,317,26.85487835816732,75.80866340089212,0,2026-09-18 14:05:00,1.0,False
36,244,26.903260251940075,75.81187555180465,1,2026-09-18 14:06:00,1.0,True
42,235,26.946212197259204,75.7300538715323,0,2026-09-18 14:07:00,1.0,False
24,184,26.860946886005447,75.83021842202358,1,2026-09-18 14:08:00,1.0,True
41,271,26.93944799309681,75.80723860603034,1,2026-09-18 14:09:00,1.0,True
35,235,26.949147533514505,75.7844125429515,1,2026-09-18 14:10:00,1.0,True
25,238,26.85615170262393,75.77072986901537,1,2026-09-18 14:11:00,1.0,True
27,265,26.938290626913744,75.7814849208685,0,2026-09-18 14:12:00,1.0,False
44,358,26.90160790204436,75.72388686074189,1,2026-09-18 14:13:00,1.0,True
37,339,26.94065137194446,75.73055518739145,0,2026-09-18 14:14:00,1.0,False
44,64,26.90713189419196,75.71367467356093,1,2026-09-18 14:15:00,1.0,True
31,176,26.916211201010658,75.72304870572417,1,2026-09-18 14:16:00,0.0,False
34,2,26.90437789079974,75.7680540451908,0,2026-09-18 14:17:00,1.0,False
46,141,26.936449288030733,75.77955315905923,0,2026-09-18 14:18:00,1.0,False
45,157,26.92339099189537,75.70267928387175,0,2026-09-18 14:19:00,1.0,False
28,323,26.90212603121804,75.8195196741796,1,2026-09-18 14:20:00,1.0,True
32,145,26.936816080405155,75.74412519600152,1,2026-09-18 14:21:00,1.0,True
45,292,26.87452855322553,75.83677540524398,0,2026-09-18 14:22:00,1.0,False
34,152,26.86573406597025,75.84512668954206,0,2026-09-18 14:23:00,1.0,False
29,192,26.86604001053301,75.7278188312015,0,2026-09-18 14:24:00,1.0,False
35,72,26.88340088787453,75.76931459361485,0,2026-09-18 14:25:00,1.0,False
26,304,26.873869003130103,75.70018477527496,1,2026-09-18 14:26:00,1.0,True
